,CO,NO2,O3,PM10,PM25,SO2
16,0.80774166,36.893464666667,4.452175,63.2675,47.963272727272994,23.821422666666997
15,0.8252151599999998,52.1552185,13.6192,81.03,55.197666666667004,48.8966745
14,0.761980505,50.800247666667005,30.5501,79.5965,56.266379310345,34.3060975
13,0.7086475,38.739413166667,59.135125,79.22833333333298,56.251833333332996,23.145020666666998
12,0.5284763,21.022771,85.1466,43.7,29.290666666667,13.143236499999999
11,0.50253786,18.593388,90.45995,36.705,21.704166666667,11.797977666666998
10,0.44371041,12.9598975,95.956175,19.743333333333002,12.7645,10.199733833333
9,0.45671846,11.560292333333,98.5397,15.554833333333,11.009655172414,10.8743605
8,0.440468105,11.397695833333001,97.498975,17.276666666666998,9.207333333333299,10.6346905
7,0.471687425,17.844168833333,89.9346,14.992,8.4067966101695,10.688394333333
6,0.46599883,23.005810666667,86.21725,18.985333333333003,9.471542372881402,10.893889166666998
5,0.52098211,37.505592666667,70.1974,22.4505,11.698051724138,9.727939
4,0.63529763,74.04517083333299,28.8743,40.234666666666996,17.454137931034,11.051893833333
3,0.819487735,93.40053066666701,9.3632,62.978,32.473103448276,13.850263
2,0.841582005,74.3831165,8.016574999999998,63.256666666667,32.857333333333,13.339854666667
1,0.971274205,67.659273,6.174525,81.21833333333299,57.83066666666701,12.856076333333002
40,0.77628936,35.433284333333,10.1878,59.806440677966,48.717241379309996,12.3975965
39,0.67851542,30.871017833333003,28.5152,59.154833333332995,46.095423728814,15.65844
38,0.688281165,22.4478815,53.24655,75.963559322034,50.335964912281,17.277100166666997
37,0.598273225,14.547604500000002,69.0536,65.198333333333,42.075833333333,18.443938
36,0.535756925,12.389215666666999,78.55312499999998,45.51666666666701,30.064833333333002,15.429865833333
35,0.555269,16.852649,80.15245,45.28683333333299,27.242068965517,15.904767499999998
34,0.49737347,15.300011833333,89.1366,47.448333333333,21.863833333333,11.884969
33,0.471182635,12.5008015,97.4757,27.992666666667,17.252033898304997,11.555644666666998
32,0.466833675,18.1629855,91.972825,33.770833333333,20.276779661017002,10.289388166667
31,0.50910013,22.731628333333003,84.37852499999998,41.229,26.492881355932003,11.1939205
