,hour,B,CO,NO2,O3,PM10,PM25,SO2
963,23,4.9980614,0.680359845,14.416889666666998,,46.626666666667006,46.131333333333,11.868991000000001
964,22,5.408740135,0.73031464,20.095014499999998,29.39965,54.405,53.221666666667005,12.923095166666998
965,21,5.23248758,0.719383995,21.666780666666998,33.65565,55.575,55.05183333333299,13.1485625
966,20,4.83755631,0.685407745,23.477659333333,34.430375,50.02135593220299,49.463103448275994,12.3496625
967,19,4.7783545,0.68480588,29.369391333333002,32.235875,51.281000000000006,50.126949152542,13.836060333333002
968,18,5.562967885,,29.911379666667,32.09955,55.975,54.9835,14.200003666667
969,17,6.031928475,0.7667760099999998,31.008109,34.277425,63.078333333333,61.494333333332996,
970,16,6.06358575,0.78036651,,32.481925,67.246666666667,63.930166666667006,17.492359333333006
971,15,5.281894575,0.811760565,50.494183666667006,26.93915,66.955,63.0945,21.541894666666998
972,14,5.189790845,0.77943459,52.725900333332994,28.684775,58.776666666667005,52.924666666667,22.667456
973,13,4.341159415,0.6876793000000001,43.362254833333,37.116975,55.743103448275996,44.625517241379,24.877746
974,12,4.97760593,0.68818409,29.407649333333,52.791025,61.098245614034994,46.76947368421099,36.139573
975,11,6.13306941,0.77093082,40.186840833333,36.039675,70.54533333333302,56.83983050847501,38.98632
976,10,7.18517324,0.92046515,58.231864166667,22.477,82.335593220339,59.48406779661001,26.290911333333
977,9,7.344217225,1.023189915,73.54781683333299,15.630825,88.96333333333298,55.973666666667,39.862446999999996
978,8,6.506300565,1.01858856,79.1653665,7.504525,87.30416666666703,54.19593220339001,29.170945833333
979,7,5.38216967,0.963158735,74.67961599999998,5.03405,86.476,52.457796610169,27.726712166667
980,6,4.63202754,0.788151925,64.327638833333,4.771375,57.613333333332996,43.053666666667006,33.812111
981,5,4.6885236,0.719267505,45.472821166667,18.184425,49.642931034483006,44.022105263158,37.1075735
982,4,5.30933088,0.7953743049999998,33.341846999999994,29.655675,53.373333333332994,50.390666666667,31.339959333333002
983,3,4.927441325,0.786559895,28.036737666666998,36.2957,52.587931034483006,49.473275862068995,26.409414833333006
984,2,4.92706252,0.74068225,30.6924805,37.037175,49.284745762712,45.610338983051,27.547847333333
985,1,4.21545027,0.70763792,37.9615005,32.641525,46.41333333333299,42.1855,23.276395333333
986,0,3.859860605,0.739653255,54.380558833333,24.53185,47.11775862069001,38.489473684211,28.532269666667
